iter	Passed	Remaining
0	250	250284
1	282	141172
2	287	95483
3	291	72629
4	296	58997
5	300	49794
6	325	46222
7	351	43637
8	361	39807
9	366	36237
10	370	33272
11	385	31755
12	389	29596
13	393	27725
14	398	26148
15	446	27453
16	509	29453
17	513	28017
18	517	26743
19	520	25524
20	523	24423
21	527	23450
22	532	22600
23	535	21764
24	538	20993
25	541	20273
26	545	19645
27	547	19022
28	552	18492
29	555	17972
30	561	17537
31	567	17156
32	572	16786
33	575	16363
34	581	16034
35	597	16012
36	606	15792
37	613	15522
38	618	15248
39	622	14930
40	628	14710
41	633	14448
42	637	14180
43	642	13958
44	646	13710
45	659	13672
46	664	13476
47	667	13242
48	671	13027
49	745	14172
50	749	13949
51	753	13728
52	757	13535
53	761	13341
54	767	13178
55	776	13084
56	781	12931
57	786	12768
58	790	12609
59	794	12452
60	798	12299
61	803	12155
62	806	11992
63	810	11846
64	813	11702
65	817	11570
66	820	11430
67	824	11300
68	828	11179
69	832	11053
70	835	10932
71	838	10812
72	842	10698
73	846	10592
74	850	10488
75	858	10438
76	865	10370
77	871	10300
78	879	10257
79	884	10176
80	888	10080
81	892	9996
82	895	9889
83	902	9845
84	909	9793
85	913	9709
86	917	9623
87	922	9561
88	925	9477
89	944	9546
90	969	9687
91	974	9618
92	978	9539
93	982	9466
94	985	9392
95	989	9315
96	994	9259
97	998	9188
98	1003	9135
99	1008	9080
100	1012	9016
101	1017	8959
102	1020	8889
103	1025	8832
104	1029	8777
105	1033	8718
106	1037	8661
107	1040	8597
108	1045	8549
109	1048	8485
110	1054	8442
111	1057	8382
112	1061	8328
113	1064	8273
114	1068	8223
115	1072	8171
116	1075	8114
117	1080	8073
118	1084	8031
119	1088	7982
120	1091	7931
121	1097	7894
122	1099	7843
123	1103	7797
124	1107	7752
125	1112	7714
126	1115	7664
127	1119	7628
128	1123	7587
129	1129	7557
130	1134	7526
131	1140	7500
132	1144	7460
133	1151	7441
134	1155	7406
135	1161	7376
136	1165	7341
137	1170	7312
138	1174	7273
139	1178	7237
140	1181	7196
141	1184	7156
142	1188	7120
143	1192	7088
144	1195	7049
145	1200	7022
146	1204	6989
147	1207	6953
148	1211	6917
149	1215	6885
150	1217	6846
151	1221	6813
152	1224	6780
153	1228	6751
154	1233	6724
155	1237	6695
156	1240	6660
157	1244	6631
158	1248	6603
159	1252	6577
160	1255	6543
161	1260	6518
162	1263	6489
163	1268	6465
164	1271	6437
165	1275	6408
166	1278	6375
167	1282	6349
168	1285	6321
169	1290	6301
170	1294	6277
171	1298	6252
172	1305	6239
173	1310	6220
174	1314	6196
175	1318	6173
176	1323	6155
177	1327	6128
178	1330	6104
179	1335	6084
180	1339	6060
181	1342	6033
182	1345	6008
183	1348	5981
184	1353	5962
185	1356	5937
186	1359	5911
187	1364	5893
188	1370	5881
189	1374	5858
190	1378	5838
191	1383	5820
192	1386	5796
193	1390	5776
194	1394	5756
195	1399	5738
196	1402	5716
197	1407	5699
198	1411	5679
199	1415	5662
200	1423	5656
201	1428	5644
202	1432	5623
203	1436	5605
204	1440	5588
205	1444	5568
206	1447	5547
207	1452	5530
208	1455	5509
209	1459	5490
210	1463	5471
211	1467	5454
212	1471	5435
213	1477	5425
214	1481	5409
215	1486	5395
216	1489	5374
217	1493	5357
218	1497	5339
219	1500	5320
220	1504	5302
221	1508	5285
222	1512	5268
223	1516	5254
224	1520	5237
225	1523	5219
226	1528	5203
227	1533	5191
228	1537	5175
229	1541	5159
230	1545	5145
231	1549	5127
232	1553	5114
233	1557	5097
234	1561	5084
235	1570	5083
236	1573	5065
237	1577	5049
238	1582	5038
239	1585	5022
240	1590	5008
241	1593	4992
242	1597	4976
243	1601	4962
244	1606	4951
245	1609	4934
246	1614	4922
247	1619	4910
248	1622	4894
249	1626	4880
250	1630	4865
251	1636	4858
252	1642	4848
253	1645	4832
254	1650	4822
255	1653	4806
256	1658	4793
257	1661	4779
258	1666	4767
259	1669	4751
260	1674	4740
261	1677	4725
262	1680	4710
263	1684	4694
264	1688	4683
265	1692	4670
266	1696	4656
267	1700	4645
268	1704	4631
269	1708	4618
270	1712	4605
271	1715	4592
272	1719	4577
273	1722	4565
274	1728	4557
275	1732	4545
276	1736	4533
277	1740	4519
278	1743	4506
279	1747	4494
280	1751	4481
281	1759	4478
282	1762	4465
283	1769	4460
284	1773	4450
285	1779	4443
286	1783	4431
287	1788	4420
288	1792	4410
289	1798	4403
290	1803	4394
291	1808	4384
292	1814	4378
293	1820	4370
294	1823	4358
295	1827	4347
296	1832	4336
297	1836	4326
298	1842	4318
299	1845	4305
300	1849	4294
301	1853	4283
302	1859	4276
303	1864	4267
304	1867	4255
305	1876	4256
306	1881	4247
307	1887	4239
308	1892	4232
309	1897	4222
310	1901	4212
311	1904	4200
312	1909	4192
313	1913	4179
314	1918	4171
315	1921	4160
316	1925	4148
317	1931	4141
318	1935	4132
319	1939	4121
320	1942	4109
321	1946	4099
322	1949	4086
323	1953	4076
324	1959	4070
325	1963	4060
326	1969	4054
327	1979	4054
328	1984	4046
329	1987	4035
330	1993	4029
331	1998	4020
332	2002	4011
333	2007	4002
334	2012	3994
335	2016	3985
336	2022	3979
337	2025	3968
338	2033	3965
339	2038	3956
340	2041	3945
341	2047	3938
342	2052	3931
343	2056	3921
344	2060	3911
345	2064	3901
346	2068	3892
347	2074	3885
348	2076	3874
349	2080	3863
350	2083	3853
351	2089	3846
352	2094	3839
353	2098	3829
354	2102	3820
355	2106	3811
356	2110	3800
357	2114	3791
358	2119	3784
359	2126	3779
360	2130	3771
361	2135	3763
362	2140	3755
363	2143	3745
364	2147	3735
365	2151	3727
366	2155	3718
367	2160	3709
368	2164	3700
369	2167	3690
370	2170	3680
371	2174	3670
372	2178	3661
373	2182	3653
374	2185	3642
375	2189	3633
376	2192	3623
377	2196	3613
378	2198	3602
379	2203	3594
380	2206	3585
381	2210	3576
382	2213	3566
383	2218	3558
384	2221	3548
385	2227	3543
386	2230	3532
387	2234	3524
388	2239	3518
389	2242	3508
390	2248	3502
391	2252	3494
392	2258	3487
393	2261	3478
394	2265	3470
395	2269	3461
396	2274	3454
397	2278	3446
398	2281	3436
399	2287	3431
400	2294	3427
401	2299	3420
402	2303	3412
403	2308	3405
404	2313	3398
405	2317	3390
406	2320	3380
407	2324	3372
408	2328	3364
409	2331	3355
410	2335	3347
411	2342	3343
412	2346	3334
413	2351	3328
414	2356	3321
415	2360	3313
416	2364	3305
417	2369	3299
418	2373	3291
419	2376	3281
420	2381	3275
421	2385	3267
422	2391	3261
423	2394	3253
424	2400	3248
425	2405	3240
426	2409	3233
427	2413	3225
428	2418	3219
429	2421	3210
430	2426	3203
431	2430	3195
432	2435	3189
433	2439	3181
434	2444	3175
435	2448	3167
436	2451	3158
437	2455	3150
438	2459	3142
439	2465	3137
440	2469	3129
441	2473	3122
442	2482	3121
443	2488	3116
444	2494	3111
445	2501	3107
446	2506	3101
447	2511	3094
448	2514	3085
449	2523	3084
450	2528	3078
451	2532	3070
452	2538	3065
453	2543	3059
454	2547	3051
455	2552	3045
456	2556	3037
457	2561	3031
458	2567	3026
459	2572	3020
460	2576	3012
461	2581	3005
462	2591	3006
463	2599	3002
464	2604	2996
465	2610	2991
466	2614	2983
467	2619	2978
468	2622	2969
469	2628	2963
470	2633	2957
471	2638	2951
472	2642	2944
473	2647	2938
474	2651	2931
475	2657	2924
476	2660	2917
477	2664	2909
478	2669	2903
479	2672	2895
480	2676	2887
481	2679	2879
482	2683	2872
483	2686	2864
484	2691	2858
485	2696	2851
486	2700	2844
487	2704	2837
488	2708	2830
489	2712	2823
490	2717	2816
491	2721	2809
492	2725	2802
493	2729	2796
494	2733	2788
495	2736	2780
496	2743	2776
497	2749	2771
498	2753	2764
499	2757	2757
500	2761	2750
501	2765	2743
502	2769	2736
503	2773	2729
504	2777	2722
505	2780	2714
506	2783	2706
507	2788	2700
508	2793	2694
509	2797	2688
510	2805	2685
511	2810	2678
512	2816	2673
513	2821	2667
514	2823	2659
515	2827	2652
516	2831	2645
517	2835	2638
518	2838	2630
519	2842	2623
520	2845	2616
521	2848	2608
522	2853	2602
523	2858	2596
524	2862	2589
525	2867	2583
526	2871	2577
527	2875	2570
528	2880	2564
529	2883	2556
530	2888	2551
531	2892	2544
532	2897	2538
533	2904	2534
534	2910	2529
535	2912	2521
536	2917	2515
537	2921	2508
538	2926	2502
539	2929	2495
540	2933	2489
541	2938	2483
542	2941	2475
543	2947	2470
544	2950	2463
545	2954	2456
546	2977	2465
547	2980	2458
548	2984	2452
549	2990	2446
550	2996	2442
551	3006	2440
552	3009	2432
553	3014	2426
554	3020	2422
555	3024	2415
556	3030	2409
557	3033	2403
558	3039	2397
559	3042	2390
560	3046	2384
561	3051	2378
562	3055	2371
563	3061	2366
564	3066	2361
565	3070	2354
566	3077	2350
567	3082	2344
568	3087	2338
569	3094	2334
570	3098	2327
571	3102	2321
572	3105	2314
573	3112	2310
574	3118	2304
575	3123	2299
576	3127	2292
577	3131	2286
578	3135	2280
579	3140	2273
580	3144	2267
581	3147	2260
582	3150	2253
583	3156	2248
584	3161	2242
585	3164	2235
586	3169	2230
587	3173	2223
588	3179	2218
589	3182	2211
590	3187	2205
591	3196	2202
592	3202	2198
593	3211	2195
594	3216	2189
595	3220	2182
596	3224	2176
597	3229	2170
598	3232	2164
599	3236	2157
600	3241	2151
601	3245	2145
602	3274	2155
603	3279	2149
604	3284	2144
605	3287	2137
606	3291	2131
607	3295	2124
608	3301	2119
609	3304	2112
610	3309	2107
611	3313	2100
612	3318	2094
613	3322	2088
614	3325	2082
615	3330	2076
616	3334	2069
617	3339	2064
618	3343	2058
619	3346	2051
620	3349	2044
621	3352	2037
622	3358	2032
623	3362	2026
624	3367	2020
625	3371	2014
626	3375	2007
627	3379	2001
628	3382	1995
629	3385	1988
630	3394	1985
631	3397	1978
632	3402	1972
633	3404	1965
634	3409	1959
635	3414	1954
636	3418	1947
637	3425	1943
638	3428	1936
639	3432	1930
640	3436	1924
641	3447	1922
642	3452	1916
643	3456	1910
644	3461	1905
645	3464	1898
646	3473	1894
647	3478	1889
648	3485	1885
649	3488	1878
650	3493	1872
651	3496	1866
652	3503	1861
653	3508	1856
654	3515	1851
655	3517	1844
656	3522	1839
657	3526	1832
658	3530	1826
659	3534	1820
660	3538	1814
661	3541	1808
662	3545	1801
663	3548	1795
664	3552	1789
665	3555	1783
666	3558	1776
667	3562	1770
668	3565	1764
669	3568	1757
670	3573	1752
671	3576	1745
672	3581	1739
673	3584	1733
674	3590	1728
675	3593	1722
676	3597	1716
677	3601	1710
678	3605	1704
679	3609	1698
680	3613	1692
681	3619	1687
682	3622	1681
683	3628	1676
684	3633	1670
685	3638	1665
686	3641	1659
687	3646	1653
688	3651	1648
689	3655	1642
690	3662	1637
691	3667	1632
692	3671	1626
693	3677	1621
694	3682	1615
695	3685	1609
696	3688	1603
697	3691	1597
698	3695	1591
699	3700	1585
700	3705	1580
701	3708	1574
702	3712	1568
703	3716	1562
704	3720	1556
705	3723	1550
706	3727	1544
707	3730	1538
708	3735	1533
709	3737	1526
710	3742	1521
711	3746	1515
712	3751	1510
713	3758	1505
714	3763	1499
715	3766	1494
716	3780	1492
717	3783	1486
718	3788	1480
719	3791	1474
720	3794	1468
721	3798	1462
722	3802	1456
723	3806	1451
724	3811	1445
725	3815	1440
726	3818	1434
727	3823	1428
728	3826	1422
729	3830	1416
730	3833	1410
731	3839	1405
732	3841	1399
733	3846	1393
734	3850	1388
735	3855	1383
736	3860	1377
737	3863	1371
738	3865	1365
739	3870	1359
740	3879	1356
741	3883	1350
742	3889	1345
743	3892	1339
744	3900	1334
745	3904	1329
746	3907	1323
747	3911	1317
748	3914	1311
749	3916	1305
750	3920	1300
751	3928	1295
752	3931	1289
753	3937	1284
754	3942	1279
755	3946	1273
756	3952	1268
757	3955	1262
758	3959	1257
759	3963	1251
760	3966	1245
761	3969	1239
762	3974	1234
763	3977	1228
764	3981	1223
765	3985	1217
766	3988	1211
767	3994	1206
768	3997	1200
769	4002	1195
770	4006	1189
771	4010	1184
772	4015	1179
773	4018	1173
774	4020	1167
775	4024	1161
776	4027	1155
777	4032	1150
778	4035	1144
779	4039	1139
780	4042	1133
781	4045	1127
782	4048	1121
783	4052	1116
784	4055	1110
785	4059	1105
786	4061	1099
787	4064	1093
788	4068	1088
789	4072	1082
790	4076	1077
791	4080	1071
792	4083	1065
793	4087	1060
794	4090	1054
795	4092	1048
796	4096	1043
797	4099	1037
798	4104	1032
799	4107	1026
800	4111	1021
801	4114	1015
802	4118	1010
803	4121	1004
804	4125	999
805	4129	993
806	4133	988
807	4136	982
808	4140	977
809	4144	972
810	4148	966
811	4151	961
812	4154	955
813	4157	950
814	4160	944
815	4163	938
816	4167	933
817	4170	927
818	4172	922
819	4175	916
820	4179	911
821	4182	905
822	4186	900
823	4189	894
824	4192	889
825	4195	883
826	4200	878
827	4203	873
828	4207	867
829	4211	862
830	4215	857
831	4218	851
832	4222	846
833	4226	841
834	4230	835
835	4234	830
836	4237	825
837	4241	819
838	4245	814
839	4248	809
840	4253	804
841	4256	798
842	4261	793
843	4264	788
844	4268	782
845	4271	777
846	4275	772
847	4279	767
848	4283	761
849	4286	756
850	4291	751
851	4294	745
852	4297	740
853	4301	735
854	4304	730
855	4308	724
856	4312	719
857	4316	714
858	4320	709
859	4323	703
860	4328	698
861	4331	693
862	4336	688
863	4339	683
864	4343	677
865	4346	672
866	4349	667
867	4353	662
868	4357	656
869	4360	651
870	4365	646
871	4368	641
872	4374	636
873	4377	631
874	4381	625
875	4384	620
876	4389	615
877	4394	610
878	4398	605
879	4405	600
880	4410	595
881	4412	590
882	4416	585
883	4420	580
884	4444	577
885	4453	573
886	4457	567
887	4461	562
888	4466	557
889	4470	552
890	4475	547
891	4479	542
892	4482	537
893	4487	532
894	4493	527
895	4497	522
896	4502	517
897	4505	511
898	4510	506
899	4513	501
900	4518	496
901	4521	491
902	4525	486
903	4528	480
904	4532	475
905	4535	470
906	4539	465
907	4542	460
908	4544	454
909	4548	449
910	4552	444
911	4555	439
912	4557	434
913	4561	429
914	4564	424
915	4568	418
916	4571	413
917	4575	408
918	4578	403
919	4581	398
920	4585	393
921	4590	388
922	4593	383
923	4600	378
924	4604	373
925	4608	368
926	4613	363
927	4616	358
928	4621	353
929	4626	348
930	4630	343
931	4635	338
932	4638	333
933	4643	328
934	4646	323
935	4651	318
936	4657	313
937	4660	308
938	4665	303
939	4669	298
940	4673	293
941	4678	288
942	4681	282
943	4686	278
944	4690	273
945	4697	268
946	4701	263
947	4705	258
948	4708	253
949	4712	248
950	4718	243
951	4722	238
952	4726	233
953	4731	228
